,nthreads,ssize,tot,mean,med,stdev
156,8.0,524288.0,0.00105739,0.000132173,0.000111461,7.20022e-05
157,8.0,1048576.0,0.00189161,0.000236452,0.000222087,8.22882e-05
158,8.0,2097152.0,0.00465989,0.000582486,0.00059092,0.000208173
159,8.0,4194304.0,0.00863218,0.00107902,0.0011735,0.000171064
160,8.0,8388608.0,0.0163257,0.00204071,0.00218689,0.000437181
161,8.0,16777216.0,0.0340188,0.00425234,0.00426245,0.000884807
162,8.0,33554432.0,0.0678799,0.00848499,0.00846851,0.00164151
163,8.0,67108864.0,0.147402,0.0184252,0.018924,0.00161833
164,8.0,134217728.0,0.286912,0.035864,0.036191,0.00340208
165,8.0,268435456.0,0.595828,0.0744785,0.0748637,0.00295951
166,8.0,536870912.0,1.21451,0.151814,0.151882,0.00281265
167,8.0,1073741824.0,2.43769,0.304711,0.305802,0.00359575
